"cue","Cue","Term","Estimate","CI_low","CI_high","t_value","SE","p_value"
"semantic","semantic","(Intercept)",0.226,-0.369,0.821,0.78,0.29,0.442
"semantic","semantic","TCorrPNT",0.001,-0.003,0.004,0.338,0.002,0.738
"semantic","semantic","semantic_output",-0.022,-0.766,0.721,-0.062,0.362,0.951
"semantic","semantic","phon_output",0.129,-0.405,0.662,0.494,0.26,0.625
"semantic","semantic","prt",0.002,-0.003,0.007,0.794,0.002,0.434
"semantic","semantic","syntot.",-0.001,-0.003,0.002,-0.474,0.001,0.639
"semantic","semantic","camcac.",0,-0.002,0.003,0.301,0.001,0.766
"semantic","semantic","nonwdrep..",0,-0.001,0.001,0.231,0,0.819
"semantic","semantic","avg_length",-0.005,-0.037,0.027,-0.319,0.016,0.752
"semantic","semantic","fluency_score",0,-0.004,0.005,0.173,0.002,0.864
"phonological","phonological","(Intercept)",-0.25,-0.653,0.152,-1.276,0.196,0.213
"phonological","phonological","TCorrPNT",0.001,-0.001,0.003,1.23,0.001,0.229
"phonological","phonological","semantic_output",0.502,-0.001,1.005,2.046,0.245,0.0506
"phonological","phonological","phon_output",0.345,-0.016,0.706,1.959,0.176,0.0605
"phonological","phonological","prt",0,-0.003,0.003,0.127,0.002,0.9
"phonological","phonological","syntot.",-0.002,-0.003,0,-2.182,0.001,0.038
"phonological","phonological","camcac.",0.003,0.001,0.005,3.441,0.001,0.0019
"phonological","phonological","nonwdrep..",0,0,0.001,1.393,0,0.175
"phonological","phonological","avg_length",-0.003,-0.025,0.018,-0.323,0.011,0.749
"phonological","phonological","fluency_score",0.001,-0.002,0.005,0.882,0.002,0.385
"frequency","frequency","(Intercept)",3.82,1.45,6.19,3.307,1.155,0.00267
"frequency","frequency","TCorrPNT",0.014,0.002,0.026,2.306,0.006,0.029
"frequency","frequency","semantic_output",0.051,-2.911,3.014,0.036,1.444,0.972
"frequency","frequency","phon_output",2.119,-0.008,4.246,2.044,1.037,0.0508
"frequency","frequency","prt",0,-0.019,0.02,0.018,0.009,0.985
"frequency","frequency","syntot.",-0.003,-0.012,0.007,-0.572,0.004,0.572
"frequency","frequency","camcac.",-0.002,-0.013,0.009,-0.318,0.005,0.753
"frequency","frequency","nonwdrep..",0,-0.004,0.003,-0.05,0.002,0.96
"frequency","frequency","avg_length",-0.137,-0.264,-0.01,-2.216,0.062,0.0353
"frequency","frequency","fluency_score",-0.011,-0.03,0.008,-1.211,0.009,0.236
