activity book,4.76
air conditioner,3.39
air freshener,2.51
alphabet chart,3.63
apple,4.76
assignments,3.88
attendance chart,3.99
backpack,3.78
badge,4.02
bandaid,2.2
batteries,4.06
trash can,4.42
binder,3.32
binder clips ,3.24
binder dividers,2.45
binder labels,3.25
binder pockets,3.25
binder sheet reinforcements,3.07
binder tabs,3.14
black allpurpose markers,0.0001
blackboard,3.02
whiteboard,2.86
blocks,4.43
book,5.43
bookbag,1.67
bookcases,2.35
bookends,2.35
bookmarks,2.81
bookshelf,2.92
box cutter,3.68
box cutter blades,3.46
box of crayons,3.0
broom,3.42
building blocks,4.37
bulletin board,3.77
bunsen burner,2.4
business cards,4.7
cabinets,3.46
calculator,3.56
calendar,4.3
carbon paper,4.44
carpet,4.18
chair,4.69
chair floor mats,3.52
chalk,3.69
child,5.3
clay,4.29
clear binder document holders,3.21
clear cellophane tape,2.59
clear cellophane tape dispenser,2.46
clipboard,2.89
clock,4.43
clorox,2.36
coasters,3.18
coat hooks,3.57
coffee pot,4.27
color card stock,4.48
colored paper,4.14
colored pencils,3.33
coloring book,3.58
coloring sheets,3.49
compass,3.74
composition notebook,3.64
computer,4.97
computer and monitor,4.27
computer screen and keyboard cleaner,3.64
computer laptop,4.16
construction paper,4.72
correction fluid,3.76
crayons,3.01
cubby hole,2.55
cubbies,2.25
decorations,3.76
desk,4.43
desk calendar,4.06
desk drawer organizers,3.36
desktop organizers,3.45
dictionary,4.02
digital camera,4.55
dishwasher tabs,3.12
dishwashing liquid,2.31
disinfectant wipes,2.71
document sorter holder,2.28
door,5.08
dry erase markers,3.37
dry erase board,3.61
dry erase spray,3.52
duct tape,3.52
duster,2.78
duster cloths,2.61
dustpan,1.9
easel,2.68
envelope,3.86
eraser,2.94
extension cords,3.32
facial tissues,3.64
fan,4.92
fax machine,3.61
felt tip pens,3.67
file folder labels,3.55
filing cabinet,3.92
fire extinguisher,2.92
firstaid kit,1.09
fish tank,4.4
flag,4.58
flash cards,4.28
flashlight,3.46
flip chart,4.01
floor cleaner,3.86
folder tabs,3.37
garbage bags,3.99
glasses,4.34
glitter,3.56
globe,4.28
glue,3.8
gradebook,1.44
graph paper,4.01
graphing calculator,2.51
greeting cards,3.65
hand sanitizer,2.7
hand soap,4.16
hanging folders,3.2
hanging hooks,3.59
headset,3.54
heavy duty card stock,4.29
highlighter,2.83
hole punch,4.16
hole puncher,2.4
homework,4.13
input box,4.27
index cards,4.35
ink pads,3.59
interactive whiteboard,2.83
ipad,4.1
keyboard,4.11
kid,4.99
label maker,4.02
laminating machine,2.14
lamp,4.05
laser pointer,3.52
lectern,2.44
legal pads,3.75
letter opener,3.84
letterhead,2.6
lightbulbs,2.38
locker,3.95
loose leaf paper,3.99
lunchbox,2.72
magazine holders,3.94
magic markers,3.68
magnifying glass,2.99
manila folders,3.13
map,4.76
marker,3.87
masking tape,3.11
mechanical pencil,3.8
mechanical pencil lead refills,2.7
mechanical pencils,3.34
microscope,3.5
microwave,3.8
monitor,4.37
monitor stands,4.17
mop,3.39
mop bucket,3.31
mouse,4.31
mouse pad,3.83
multiplication table,3.25
music stand,4.99
notebook,3.74
notepad,2.86
notice board,4.74
packing tape,3.91
paint,4.52
paintbrush,2.62
paints,3.66
paper,5.07
paper shredder,2.97
paper toweling,1.5
paperclip,2.32
paperclips small medium large,1.96
paperweight,2.34
partition,3.67
pen,4.38
pen holder,3.99
pencil,3.95
pencil case,3.94
pencil sharpener,2.51
permanent marker,3.79
photocopier,2.14
picture book,4.95
pipe cleaners,3.39
planners,3.55
playdough,1.8
portfolio,4.15
post it,5.42
postage meter,3.41
poster,4.19
poster board,4.15
pressured air to clean keyboard,3.39
principal,4.52
printer,3.93
printer paper,3.9
projection device,3.74
projector,3.41
protractor,2.06
push pin,4.17
puzzles,3.55
reading nook,3.18
recycling bags,3.68
recycling bin,3.63
refrigerator,3.61
rubber,4.23
rubber band,4.15
rubber bands ,3.99
rubber cement,3.76
rubber stamps,3.74
rug,3.72
ruler,3.84
safe,5.07
satchel,2.9
scales,3.98
scanner,3.56
science project,4.87
scientific calculator,3.53
scissors,3.58
scrap paper,3.87
screen,4.85
seating chart,3.69
sharpie,2.73
shelves,3.76
smoke detector,3.66
snacks,3.86
speakerphone,2.36
speakers,4.24
spiral notebook,3.49
spiralbound notebooks,0.0001
sponges,3.07
staple remover,2.9
stapler,2.53
stapler remover,2.4
staples,3.57
steno pads,2.13
stereo,3.77
stickers,3.69
storage cabinet,4.23
storybook,2.79
string,4.4
student,5.02
supply trays and containers,3.14
surge protectors,3.06
swivel chair,2.98
tsquare,0.0001
table,5.05
tablet,4.05
tacky wall mount gum,3.09
tape,4.44
tape gun,4.33
teacher,4.88
teachers desk,4.26
teaching assistant,4.42
telephone,4.41
test,5.19
test tube,4.3
textbook,3.77
three hole punched paper,3.75
three hole puncher,2.4
thumb drives,3.82
thumbtack,1.88
tissue box,4.24
toilet bowl cleaner,3.7
toner or print cartridges,2.9
toys,4.25
tracing paper,3.55
twine,2.93
vacuum cleaner,3.68
vacuum cleaner bags,3.61
walkietalkies,0.0001
wall calendar,4.23
waste basket,4.0
water bottle,4.52
water cooler,3.95
wet floor sign,4.31
white glue,3.79
window cleaner,3.85
wireless router,3.42
workbook,2.85
worksheet,2.93
wrapping paper,3.57
yarn,3.6
children,5.47
chalkboard,2.77
artwork,4.11
name tag,4.41
board,5.24
picture,5.13
window,4.8
ceiling,4.18
dry eraser,2.93
smart board,4.69
folder,3.74
pledge of allegiance,3.52
gold star,4.88
glue stick,3.76
white out,5.45
signs,4.71
coat rack,3.77
class pet,4.4
digital board,4.69
learning,4.92
divider,2.81
lined paper,4.04
tv,5.2
trash,4.42
corkboard,1.58
diagram,3.85
lessons,4.38
reports,4.9
experiment,4.38
teleprompter,2.5
powerpoint,3.24
lights,4.64
math,4.45
laptop,4.23
bell,4.59
journal,4.77
tiled floors,2.96
podium,3.63
trash bin,4.01
dunce hat,2.5
cup,5.11
games,5.44
letters,4.66
numbers,4.98
water,5.52
television,4.79
plants,4.71
wall chart,4.37
floor,4.94
shoes,4.67
gerbil,2.44
aquarium,3.56
dust cleaner,3.78
times table,4.93
professor,4.9
laptop charger,3.54
lighting,4.29
jacket,4.32
marker board,3.85
expo marker,3.44
desk chair,4.24
knowledge,4.96
bags,4.43
pupils,4.18
schoolbag,1.75
specimens,3.77
fruit,4.57
art supplies,4.42
musical instruments,4.1
crafts,3.73
magic erase markers,3.37
graphs,3.55
skeleton,3.8
kleenex,2.69
thoughts,4.75
words,5.25
clothing,4.47
drawings,4.04
intercom,2.89
chromebook,2.7
macbook,3.41
pc,4.53
schedule,4.67
overhead projector,3.29
three ring binder,3.31
abcs,2.5
math books,4.37
seats,4.53
basket,4.07
projecting computer,3.56
math stuff,4.37
spitball,1.82
gum,3.94
portraits,3.86
instructor,4.02
student work,4.97
garbage,4.18
sink,4.21
brushes,3.58
shapes,3.99
study materials,4.66
trapper keeper,2.91
boy,5.17
girl,5.38
drink,4.9
hall pass,4.65
bathroom pass,4.42
reading books,4.84
locks,3.94
answer sheet,4.33
class,5.36
sticky note,3.78
pointer,3.62
apples,3.96
videos,4.79
furniture,4.29
caddies,2.29
mats,3.57
fire alarm,4.24
clips,4.04
banner,4.12
meter stick,4.0
wall,5.04
brick wall,4.18
light switch,4.53
closet,4.13
lunch sacks,3.56
periodic table,3.61
beakers,2.19
timer,3.68
equations,3.77
couch,4.17
models,4.74
animals,4.84
student teacher,4.64
aid,4.75
dcor,1.04
files,4.46
information,5.43
ideas,4.84
outlets,4.0
curiosity,3.97
drawers,3.42
soap,4.18
power cord,3.97
mug,3.71
board game,5.12
exam,4.26
history,5.39
reading,5.14
tools,4.59
candy,4.29
treats,4.06
supplies,4.48
bathroom,4.54
tiles,3.71
american flag,4.53
education,5.28
whiteboard markers,2.8
beanbag,2.36
desktop ,3.93
prizes,4.01
flowers,4.64
cart,3.98
educator,3.55
vents,3.32
exercise book,4.61
office supplies,4.43
bench,4.39
displays,4.07
fish,4.9
page,5.12
uniform,4.33
novel,4.63
blinds,3.3
tissues,3.83
science equipment,4.68
storage shelves,3.7
hanger,3.24
shelf,4.02
lockers or storage,3.06
math sheets,3.98
stationary,3.63
aed kit,2.64
animal tank,4.37
noise,4.55
technology,5.09
teens,4.16
paper tray,3.73
trackers,3.1
student id,4.47
thinking cap,4.44
paste,3.91
waterpen,0.0001
letterboard,0.0001
whiteboard eraser,2.6
playmat,1.65
curtains,3.66
napkins,3.05
wall art,4.85
friends,5.43
painting,4.6
classmates,3.64
post it notes,4.74
workspaces,2.21
writing instruments,4.25
hamster,3.31
water fountain,3.9
sanitizer,2.7
class projects,4.7
wallpaper,3.69
quiz,3.82
garbage can,4.18
ribbon,3.81
area rug,3.71
yardstick,2.69
unifix cubes,0.0001
pattern blocks,4.19
sight words,4.46
word wall,4.84
class clown,3.91
teachers pet,4.27
bible,4.54
essays,4.08
bulb,3.66
juice,4.36
set,5.59
mathematical set,4.03
agendas,3.27
projects,4.81
tote trays,2.95
terrarium,2.36
kleenex box,2.69
coat,4.36
slides,3.78
questions,5.15
coat room,4.32
germx,0.0001
inquiring minds,2.97
movies,4.79
craft paper,4.23
lab equipment,4.29
petri dish,2.96
pa system,4.43
wisdom,4.3
hat,4.53
mat,3.84
counter,4.56
college students,4.96
adult,4.8
politics,4.87
classwork,2.16
spelling test,3.97
graded paperwork,3.3
charger,3.64
safety goggles,3.34
red pen,4.33
blue pen,4.31
black pen,4.34
green pen,4.31
fun,5.3
learners,3.48
dirt,4.24
accident,4.71
lesson plan,4.41
report card,4.86
ink,4.07
ball,5.04
school supplies,4.45
container,4.03
sleeping mat,3.76
assistant teacher,4.49
quotes,4.25
video system,5.19
electronics,4.19
library,4.86
drapes,2.91
microphone,3.72
remote,4.41
light fixture,3.66
lead,5.2
scratch paper,4.11
schoolbook,1.68
computer mouse,4.23
fluorescent light,3.37
reference book,4.66
magnifier,2.27
encyclopedia,3.52
wooden floors,3.86
table of elements,4.54
literature,4.62
exhibit,4.16
presentations,3.61
music,5.52
cleaning supplies,4.13
math tables,4.06
drinking fountain,3.85
frustration,3.97
yawn,3.07
grades,4.28
